UPL,UPL DESCRIZIONE,< 5 anni,5 - 9 anni,10 - 14 anni,15 - 19 anni,20 - 24 anni,25 - 29 anni,30 - 34 anni,35 - 39 anni,40 - 44 anni,45 - 49 anni,50 - 54 anni,55 - 59 anni,60 - 64 anni,65 - 69 anni,70 - 74 anni,> 74 anni,Totale
1,Tribunali o Kalsa,415,380,350,362,389,451,529,659,563,562,433,375,310,239,190,428,6635
2,Palazzo Reale o Albergaria,464,427,394,458,463,488,595,658,601,558,438,373,326,229,208,410,7090
3,Monte di Pietà o Seralcadi,352,330,302,308,339,459,499,490,458,401,348,253,236,170,167,294,5406
4,Castellammare o Loggia,253,223,225,262,258,245,307,394,378,384,293,253,205,139,128,306,4253
5,Corso dei Mille - S.Erasmo,294,317,322,379,424,380,387,493,458,520,412,390,361,308,284,598,6327
6,Settecannoli,942,1065,1108,1318,1451,1319,1285,1371,1488,1485,1402,1319,1288,1027,865,1412,20145
7,Roccella Acqua dei Corsari,1465,1680,1738,2123,2134,1929,1918,2064,2293,2268,1956,1839,1888,1578,1199,1826,29898
8,Brancaccio Conte Federico,536,526,503,652,694,643,656,632,661,657,620,612,519,422,298,517,9148
9,Ciaculli Croce Verde,526,507,518,503,539,538,582,580,582,515,466,404,333,265,177,335,7370
10,Oreto Perez,921,1017,1024,1217,1411,1353,1429,1487,1564,1556,1404,1308,1171,905,886,1890,20543
11,Oreto Guadagna,574,616,565,714,835,810,795,865,838,883,814,826,913,731,577,1011,12367
12,Falsomiele Borgo Ulivia,663,710,729,879,968,914,923,900,960,1091,1027,952,967,751,712,1237,14383
13,Bonagia,289,343,365,516,581,557,476,536,551,571,630,734,807,554,464,591,8565
14,Chiavelli - S.Maria di Gesù,812,759,710,764,808,834,872,880,886,804,708,621,510,391,290,472,11121
15,Villagrazia,411,395,421,432,436,478,500,538,458,512,439,389,314,234,197,376,6530
16,Montegrappa,569,589,588,702,785,806,793,852,862,836,769,787,837,723,606,1119,12223
17,S.Rosalia,361,444,429,555,658,609,568,637,650,689,709,722,721,562,566,1117,9997
18,Cuba - Calatafimi,882,871,971,1130,1383,1316,1349,1492,1398,1523,1476,1359,1487,1174,973,1906,20690
19,Villa Tasca,370,447,438,495,558,498,486,647,705,757,649,601,622,496,525,1227,9521
20,Mezzomonreale,1400,1376,1403,1762,1978,2071,2115,2172,2030,2144,2094,2090,1979,1380,956,1598,28548
21,Zisa - Ingastone,766,756,741,857,981,944,948,1015,1054,1076,1006,944,825,578,488,1035,14014
22,Zisa - 4 Camere,349,341,367,405,508,560,547,621,555,518,542,667,754,565,456,731,8486
23,Altarello - Tasca Lanza,858,896,904,1042,1082,1014,1096,1191,1212,1177,1037,909,849,587,540,976,15370
24,Boccadifalco - Baida,455,495,476,563,538,580,586,629,623,641,544,493,473,318,272,413,8099
25,Borgo Vecchio - Principe Scordia,603,590,614,671,726,739,838,1057,1041,979,827,765,651,496,464,977,12038
26,Croci - Ruggero Settimo,251,257,246,275,280,313,330,389,412,461,425,423,406,338,247,664,5717
27,S.Francesco di Paola - Terrasanta,546,581,553,675,674,593,774,958,994,1124,1018,826,819,663,581,1366,12745
28,Olivuzza,570,562,614,653,685,655,784,873,871,988,806,730,669,501,446,1061,11468
29,Parlatore - Serradifalco,435,470,484,516,653,572,639,743,754,739,741,719,654,521,483,976,10099
30,Noce,838,973,909,1104,1121,1124,1146,1310,1383,1368,1205,1077,932,826,749,1665,17730
31,Leonardo da Vinci - Di Blasi,307,327,397,422,430,386,452,536,643,607,553,537,529,514,523,1045,8208
32,Malaspina - Leonardo da Vinci,353,400,438,528,527,443,494,584,766,822,692,626,664,620,728,1587,10272
33,Principe di Palagonia,338,379,438,477,509,485,447,620,687,744,761,679,633,508,582,1438,9725
34,Uditore,405,496,544,553,609,540,636,760,808,760,705,606,661,554,575,937,10149
35,Passo di Rigano,643,651,676,820,887,814,831,937,961,942,866,869,814,692,506,839,12748
36,Borgo Nuovo,1023,1029,1160,1308,1493,1383,1375,1335,1435,1446,1507,1501,1352,915,739,1522,20523
37,San Giovanni Apostolo,575,657,704,797,923,894,881,904,977,987,925,1018,1025,811,659,899,13636
38,Cruillas,1098,1041,1014,1117,1268,1217,1342,1437,1377,1346,1292,1227,1141,747,564,933,18161
39,Notarbartolo - Giardino Inglese,168,222,297,326,324,258,297,363,411,513,499,423,407,333,341,840,6022
40,Villa Sperlinga,366,407,497,509,544,528,539,622,735,788,779,782,701,505,488,1340,10130
41,Vittorio Veneto,427,453,483,540,584,507,522,665,760,846,851,772,745,535,532,1555,10777
42,Marchese di Villabianca - Sampolo,625,545,643,798,783,765,819,919,1040,1213,1119,1035,992,900,737,1786,14719
43,Resuttana,907,1062,1195,1328,1352,1255,1337,1713,1983,2145,1875,1668,1762,1697,1801,3427,26507
44,San Lorenzo,650,701,811,823,887,872,910,1118,1187,1259,1137,930,1092,923,845,1446,15591
45,Patti - Villaggio Ruffini,175,188,190,229,271,227,249,301,322,323,286,270,319,222,187,307,4066
46,Pallavicino,393,398,395,454,493,508,556,627,653,621,622,549,511,409,354,586,8129
47,San Filippo Neri,1042,1048,1094,1239,1276,1029,981,975,1119,1155,911,737,655,526,439,692,14918
48,Tommaso Natale - Sant'Ambrogio - Cardillo,853,867,840,942,1131,1080,1171,1237,1251,1211,1162,1132,1123,769,533,808,16110
49,Sferracavallo,260,276,314,316,375,364,350,415,463,438,377,354,352,240,254,392,5540
50,Partanna Mondello,905,977,974,1111,1116,1114,1103,1412,1506,1694,1498,1228,1146,977,822,1322,18905
51,Cantieri,404,467,462,527,558,545,565,664,642,642,602,540,481,380,341,619,8439
52,Montepellegrino,600,636,718,835,980,968,993,1092,1090,1124,1146,1170,1228,963,910,1486,15939
53,Acquasanta,159,172,176,174,176,175,217,213,221,206,222,152,172,119,88,176,2818
54,Arenella,321,384,421,473,507,512,505,488,512,556,483,427,491,325,283,466,7154
55,Vergine Maria,87,75,92,116,118,124,133,146,123,137,118,124,149,112,73,122,1849
